EEGNET     , leaky_relu,4.00E-04,0.2,237,0.8676
EEGNET     , relu      ,4.00E-04,0.2,265,0.8676
EEGNET     , leaky_relu,2.00E-04,0.1,287,0.8667
EEGNET     , relu      ,4.00E-04,0.4,240,0.8657
EEGNET     , relu      ,4.00E-04,0.2,289,0.8639
EEGNET     , relu      ,4.00E-04,0.3,290,0.8639
EEGNET     , leaky_relu,4.00E-04,0.2,276,0.863
EEGNET     , relu      ,4.00E-04,0.5,274,0.863
EEGNET     , relu      ,2.00E-04,0.1,249,0.862
EEGNET     , leaky_relu,5.00E-04,0.4,223,0.862
EEGNET     , leaky_relu,3.00E-04,0.3,257,0.8611
EEGNET     , leaky_relu,3.00E-04,0.3,200,0.8611
EEGNET     , leaky_relu,4.00E-04,0.3,137,0.8611
EEGNET     , leaky_relu,4.00E-04,0.3,237,0.8602
EEGNET     , leaky_relu,4.00E-04,0.1,273,0.8602
EEGNET     , leaky_relu,4.00E-04,0.3,260,0.8602
EEGNET     , leaky_relu,5.00E-04,0.2,207,0.8602
EEGNET     , leaky_relu,5.00E-04,0.2,274,0.8602
EEGNET     , relu      ,2.00E-04,0.2,267,0.8593
EEGNET     , leaky_relu,3.00E-04,0.3,187,0.8593
EEGNET     , leaky_relu,3.00E-04,0.3,252,0.8593
EEGNET     , relu      ,4.00E-04,0.3,279,0.8593
EEGNET     , relu      ,5.00E-04,0.4,288,0.8593
EEGNET     , leaky_relu,4.00E-04,0.3,235,0.8583
EEGNET     , leaky_relu,4.00E-04,0.1,160,0.8583
EEGNET     , leaky_relu,4.00E-04,0.2,298,0.8583
EEGNET     , leaky_relu,4.00E-04,0.3,161,0.8583
EEGNET     , leaky_relu,4.00E-04,0.6,270,0.8583
EEGNET     , relu      ,4.00E-04,0.1,273,0.8583
EEGNET     , relu      ,5.00E-04,0.2,259,0.8583
EEGNET     , leaky_relu,3.00E-04,0.5,215,0.8574
EEGNET     , leaky_relu,3.00E-04,0.4,259,0.8574
EEGNET     , leaky_relu,3.00E-04,0.1,222,0.8574
EEGNET     , relu      ,3.00E-04,0.3,241,0.8574
EEGNET     , relu      ,4.00E-04,0.2,252,0.8574
EEGNET     , relu      ,4.00E-04,0.1,252,0.8574
EEGNET     , relu      ,4.00E-04,0.4,233,0.8574
EEGNET     , relu      ,4.00E-04,0.1,203,0.8574
EEGNET     , leaky_relu,3.00E-04,0.2,269,0.8565
EEGNET     , leaky_relu,3.00E-04,0.4,298,0.8565
EEGNET     , leaky_relu,4.00E-04,0.2,140,0.8565
EEGNET     , leaky_relu,4.00E-04,0.1,215,0.8565
EEGNET     , relu      ,4.00E-04,0.3,292,0.8565
EEGNET     , leaky_relu,4.00E-04,0.3,192,0.8565
EEGNET     , leaky_relu,2.00E-04,0.3,272,0.8556
EEGNET     , leaky_relu,2.00E-04,0.4,217,0.8556
EEGNET     , relu      ,2.00E-04,0.2,240,0.8556
EEGNET     , leaky_relu,3.00E-04,0.4,258,0.8556
EEGNET     , leaky_relu,3.00E-04,0.2,300,0.8556
EEGNET     , relu      ,4.00E-04,0.4,254,0.8556
EEGNET     , relu      ,4.00E-04,0.2,285,0.8556
EEGNET     , relu      ,4.00E-04,0.4,166,0.8556
EEGNET     , leaky_relu,4.00E-04,0.5,261,0.8556
EEGNET     , leaky_relu,4.00E-04,0.4,276,0.8556
EEGNET     , relu      ,4.00E-04,0.3,299,0.8556
EEGNET     , leaky_relu,5.00E-04,0.3,208,0.8556
EEGNET     , leaky_relu,2.00E-04,0.2,206,0.8546
EEGNET     , relu      ,3.00E-04,0.2,261,0.8546
